City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namibe,-15.1961,12.1522,22.72,70,3,3.0,AO,1715039934
1,port-aux-francais,-49.35,70.2167,6.93,97,100,13.27,TF,1715039650
2,papatowai,-46.5619,169.4708,10.72,73,76,5.8,NZ,1715039935
3,puerto baquerizo moreno,-0.9,-89.6,23.69,88,7,3.41,EC,1715039935
4,klaksvik,62.2266,-6.589,4.51,76,49,5.15,FO,1715039935
5,mount pearl,47.5166,-52.7813,4.52,82,100,7.2,CA,1715039664
6,menongue,-14.6585,17.691,14.75,48,4,1.59,AO,1715039935
7,enewetak,11.3474,162.3373,27.9,76,99,8.84,MH,1715039678
8,adamstown,-25.066,-130.1015,21.89,78,46,8.28,PN,1715039935
9,polyarnyy,69.1989,33.4478,-3.39,68,100,5.98,RU,1715039936
10,ocean shores,46.9737,-124.1563,12.99,76,20,8.23,US,1715039801
11,puerto natales,-51.7236,-72.4875,-1.77,91,19,1.48,CL,1715039936
12,olonkinbyen,70.9221,-8.7187,0.22,97,100,7.68,SJ,1715039660
13,carnarvon,-24.8667,113.6333,19.6,59,0,7.45,AU,1715039936
14,saint-philippe,-21.3585,55.7679,23.77,81,49,6.11,RE,1715039715
15,college,64.8569,-147.8028,1.36,88,100,3.09,US,1715039937
16,castillos,-34.1667,-53.8333,19.02,98,100,0.33,UY,1715039719
17,isafjordur,66.0755,-23.124,1.56,94,100,3.88,IS,1715039651
18,tosno,59.54,30.8775,1.9,78,0,1.54,RU,1715039937
19,saint-pierre,-21.3393,55.4781,23.82,69,75,5.66,RE,1715039937
20,sao gabriel da cachoeira,-0.1303,-67.0892,24.52,92,99,2.43,BR,1715039937
21,avarua,-21.2078,-159.775,28.03,89,75,5.66,CK,1715039938
22,rongelap,11.1635,166.8941,28.1,76,75,8.07,MH,1715039653
23,bargaal,11.2864,51.0773,28.61,79,69,2.73,SO,1715039938
24,edinburgh of the seven seas,-37.0676,-12.3116,14.15,68,67,9.29,SH,1715039648
25,miches,18.9836,-69.0476,25.37,90,43,3.43,DO,1715039938
26,ust-nera,64.5667,143.2,3.59,79,38,2.69,RU,1715039660
27,torghay,49.6339,63.4981,10.46,85,100,2.35,KZ,1715039938
28,tolanaro,-25.0319,46.9987,22.04,83,40,6.17,MG,1715039939
